Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
1,19.08,4,"4,0",0.4053140779786952,0.5946859220213048
2,19.33,8,"4,0",0.6591620057910823,0.3408379942089177
3,19.43,12,"4,0",0.5997721426163941,0.40022785738360594
4,19.509999999999998,16,"4,0",0.624373748357998,0.3756262516420021
5,19.52,20,"4,0",0.5515053707407911,0.44849462925920897
6,19.53,24,"4,0",0.5486814216936565,0.4513185783063434
7,20.86,28,"3,0",0.509817851422395,0.490182148577605
8,19.54,32,"0,4",0.6049360600210988,0.3950639399789012
9,20.96,36,"5,4",0.5029084397194669,0.49709156028053314
10,31.19,40,"9,8",0.39180953082787323,0.6081904691721267
11,21.07,44,"1,0",0.48231236405729255,0.5176876359427074
12,23.3,48,"2,4",0.4351915738404736,0.5648084261595264
13,15.989999999999998,52,"7,0",0.478374466389925,0.521625533610075
14,19.53,56,"4,0",0.5967628457901307,0.4032371542098693
15,10.100000000000001,60,"3,9",0.46283899501788295,0.537161004982117
16,25.590000000000003,64,"4,0",0.6608628604202673,0.3391371395797327
17,10.16,68,"9,3",0.3729059104224587,0.6270940895775413
18,19.470000000000002,72,"0,3",0.7360567989773631,0.26394320102263685
19,26.779999999999998,76,"4,3",0.5831056818141935,0.4168943181858064
20,21.12,80,"5,0",0.514731837636835,0.4852681623631649
21,22.95,84,"5,4",0.4679100100061615,0.5320899899938385
22,18.68,88,"0,8",0.4938873361771813,0.5061126638228187
23,14.12,92,"8,3",0.35575598691657806,0.6442440130834219
24,28.37,96,"4,0",0.6317684651958062,0.3682315348041938
25,18.65,100,"9,3",0.31936573309802285,0.6806342669019771
26,28.59,104,"4,0",0.720839491683475,0.27916050831652495
27,21.57,108,"9,3",0.3582340064058905,0.6417659935941096
28,28.77,112,"0,4",0.7480679292894783,0.2519320707105217
29,26.87,116,"9,6",0.16455619253676299,0.835443807463237
30,25.31,120,"4,7",0.4486687554034233,0.5513312445965767
31,24.11,124,"6,8",0.30143234773674366,0.6985676522632563
32,26.25,128,"4,2",0.379360767218286,0.6206392327817141
33,10.33,132,"9,2",0.339688795976972,0.660311204023028
34,19.31,136,"2,0",0.6909475779249854,0.30905242207501454
35,27.900000000000002,140,"4,2",0.5227548003857274,0.4772451996142726
36,24.13,144,"9,3",0.23603363290000826,0.7639663670999918
37,29.03,148,"4,0",0.6152683420174704,0.3847316579825296
38,23.66,152,"9,1",0.10077509744696833,0.8992249025530317
39,30.75,156,"4,0",0.5602976253221019,0.43970237467789813
40,26.1,160,"9,3",0.141067785140673,0.858932214859327
41,31.5,164,"8,9",0.35215310947114936,0.6478468905288506
42,30.130000000000003,168,"7,4",0.37482421031121943,0.6251757896887805
43,33.26,172,"8,9",0.18609125511512695,0.8139087448848731
44,26.979999999999997,176,"5,4",0.37517090083390714,0.6248290991660929
